id,date_created,year,month,day,quarter,day_of_week,is_weekend,month_name,day_name,is_active,created_at,updated_at
24ed35b5-7425-4fe8-932f-3052259d5266,2024-01-25 13:22:24+00:00,2024,1,25,1,3,False,January,Thursday,True,2025-04-03 12:09:12.783521,2025-04-03 12:09:12.783522
1af56440-6a74-4d10-a9a1-0f260cbae2b5,2023-10-08 00:22:06+00:00,2023,10,8,4,6,True,October,Sunday,True,2025-04-03 12:09:12.783763,2025-04-03 12:09:12.783767
41fe5ab2-6186-469a-845d-a721005eb697,2024-04-30 15:01:11+00:00,2024,4,30,2,1,False,April,Tuesday,True,2025-04-03 12:09:12.784087,2025-04-03 12:09:12.784088
85cd523d-0410-4024-8ee5-bdb309368847,2023-02-01 18:25:37+00:00,2023,2,1,1,2,False,February,Wednesday,True,2025-04-03 12:09:12.784751,2025-04-03 12:09:12.784752
3dc5ba87-dcc1-4191-97f2-cf51618030f8,2022-12-06 21:33:33+00:00,2022,12,6,4,1,False,December,Tuesday,True,2025-04-03 12:09:12.785529,2025-04-03 12:09:12.785530
4f34497f-2c47-4f43-ae3b-cda6e6611eb0,2024-05-26 23:52:58+00:00,2024,5,26,2,6,True,May,Sunday,True,2025-04-03 12:09:12.786718,2025-04-03 12:09:12.786718
75c64cd6-3ed5-486f-97d4-8c7ac408dbe6,2024-03-05 23:00:45+00:00,2024,3,5,1,1,False,March,Tuesday,True,2025-04-03 12:09:12.786838,2025-04-03 12:09:12.786844
fdc8c9d6-6ea7-45c9-b291-67b354df84ed,2023-12-12 07:25:35+00:00,2023,12,12,4,1,False,December,Tuesday,True,2025-04-03 12:09:12.787120,2025-04-03 12:09:12.787125
9e136202-e229-4147-8b6b-0b17a664b719,2024-09-03 04:23:20+00:00,2024,9,3,3,1,False,September,Tuesday,True,2025-04-03 12:09:12.787306,2025-04-03 12:09:12.787306
9b5936eb-468a-4b83-a062-fc83d26964a0,2024-02-26 15:23:54+00:00,2024,2,26,1,0,False,February,Monday,True,2025-04-03 12:09:12.787515,2025-04-03 12:09:12.787516
d5124bde-302d-4c74-8444-3f64a5a62d14,2023-09-12 20:30:25+00:00,2023,9,12,3,1,False,September,Tuesday,True,2025-04-03 12:09:12.788157,2025-04-03 12:09:12.788158
